id,name,table_bookings,online_ordering,location,rating,votes,phone,restaurant_type,restaurant_operation,popular_dishes,cuisines_offered,primary_cuisine,
16035,Sushi & Nachos Cafe,No,No,East Village,2.6/5,91," 7338660005,  7338460005",Quick Bites,Delivery,4,1,Mexican,
19410,Tea Villa Cafe,No,Yes,Chelsea,4.2/5,656,080 49653143,Cafe,Cafes,7,5,Snacks,
3741,The Lounge - Eden Park Restaurants,No,Yes,Chelsea,3.7/5,151,8880845845,Lounge,Drinks & nightlife,5,2,American,
17526,Urban Tamaasha,Yes,Yes,Greenwich,4.1/5,840," 9513951515,  9606082474",Casual Dining,Buffet,7,3,American,
16689,Wings Mama,Yes,No,East Village,,0,8095066833,Takeaway,Delivery,1,2,American,
45345,Mayo N Burger,Yes,No,Greenwich,3.2 /5,4,7338047075,Quick Bites,Delivery,1,1,American,
2370,Nammuru Nati Hotel,No,No,Midtown,,0,9535613547,Quick Bites,Dine-out,1,1,Mexican,
19412,Dr. Sheesha,No,Yes,Midtown,4.1/5,1445,080 49653341,Cafe,Cafes,7,4,Snacks,
9508,Udupi Thadka,No,No,Lower Manhattan,,0,080 43021681,Quick Bites,Delivery,1,3,Mexican,
20464,Thai Chang,Yes,Yes,Chelsea,4.1/5,2345,"080 22443007,  9901967373",Casual Dining,Delivery,7,3,American,
8364,Willys Top Cafe,Yes,No,Chelsea,4.0/5,310," 7795808555, 00 09176703991",Cafe,Cafes,7,3,Snacks,
34607,Royal's Burger,Yes,No,Lower Manhattan,,0,9980871513,Quick Bites,Dine-out,1,1,Italian,
9534,Sree Food Paradise,No,No,Lower Manhattan,,0,8951458076,Quick Bites,Delivery,1,2,American,
8460,Paratha Junction,Yes,No,Lower Manhattan,2.9/5,177,9535673059,Quick Bites,Delivery,2,2,American,
2952,Mainland China,Yes,Yes,Chelsea,4.3/5,881,"080 26532525, 080 33278277",Casual Dining,Delivery,7,2,Chinese,
15929,Soup'ermanz Kitchen,Yes,No,East Village,4.1/5,439," 7795076877,  7259725921",Cafe,Delivery,7,3,Snacks,
17273,American Paratha Factory,Yes,No,East Village,2.7/5,140," 9108529166,  7338491606",Quick Bites,Dine-out,7,1,American,
27655,Manhattan Lunch Home,Yes,No,Lower Manhattan,3.6/5,42,9900603369,Quick Bites,Delivery,1,3,American,
23430,Sahodara Savi Ruchi,Yes,No,Midtown,,0," 9844987999,  9986069846",Quick Bites,Dine-out,1,1,Mexican,
18762,The Tiny Taproom,No,No,Greenwich,NEW,0,9886420335,Bar,Dine-out,1,4,Mexican,
50289,Kababji Cafe,Yes,No,Chinatown,,0,080 43334333,Takeaway,Delivery,1,4,Italian,
51080,Imperio Restaurant,Yes,Yes,Chinatown,4.4 /5,2382," 7411905151
00 08061525151",Casual Dining,Dine-out,7,6,American,
23671,Daniyal's,Yes,No,Lower Manhattan,3.1/5,42,8197567419,Quick Bites,Dine-out,1,4,American,
8008,Flavors of America,Yes,No,Staten and Ellis Islands,3.6/5,34,9513397311,Casual Dining,Dine-out,1,3,American,
7968,The Big Spoon,Yes,No,Chinatown,3.8/5,45," 6360116461,  9819246944",Casual Dining,Dine-out,1,2,American,
10667,Chicken Magic,Yes,No,Lower Manhattan,3.7/5,209,8095577245,Quick Bites,Dine-out,1,2,Chinese,
23258,Wangs Kitchen,Yes,No,Midtown,2.8/5,39,080 39253925,Casual Dining,Dine-out,1,1,Chinese,
22256,Baba Chatkora,No,No,Midtown,NEW,0,9880894199,Casual Dining,Delivery,3,1,American,
21348,Mavalli Tiffin Room (MTR),No,No,Midtown,4.2 /5,875,080 26586633,Quick Bites,Dine-out,7,1,Mexican,
44773,Lahe Lahe Santhe,No,No,Greenwich,3.8 /5,20,9886294444,Cafe,Cafes,1,2,Snacks,
21073,Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,Chelsea,4.0 /5,1065,"080 22452202, 080 22452203",Casual Dining,Dine-out,7,4,,
32375,Asha Tiffins,Yes,No,East Village,4.3 /5,286,7619682498,Quick Bites,Delivery,6,1,Mexican,
14809,Aagaman Veg,Yes,No,Greenwich,4.0/5,558,"080 40956662, 080 40926663",Casual Dining,Delivery,7,3,American,
22362,The Airos,Yes,No,Chelsea,4.1/5,130,7026390001,Cafe,Delivery,7,3,Snacks,
16433,Caffe Pascucci,Yes,Yes,East Village,,720,8043758922,Cafe,Delivery,7,5,Snacks,
9553,Invitation Bar & Restaurant,No,No,Lower Manhattan,3.0/5,15,9886055270,Bar,Delivery,1,1,American,
29936,Grills And Tandoor,Yes,Yes,Tribeca,3.7 /5,110," 8910378576, 080 43761888",Casual Dining,Delivery,7,2,American,
22219,Sri Sapana Perk,Yes,No,Lower Manhattan,3.4/5,9,7411562150,Quick Bites,Delivery,1,1,American,
16992,The Punjabi Rasoi,No,No,East Village,4.0/5,1829,"080 25720999,  9591957444",Casual Dining,Dine-out,7,1,American,
20106,High n Hungry,Yes,No,Lower Manhattan,2.9/5,95,"040 42150606,  9886941212",Delivery,Delivery,2,4,American,
18239,New York Hotel,No,No,Greenwich,,0,9901993236,Quick Bites,Delivery,1,2,Italian,
32286,Swad Punjab Da,Yes,No,Lower Manhattan,4.1 /5,133,8360151853,Quick Bites,Delivery,5,1,American,
51691,Uno Chicago Bar & Grill,No,Yes,Chinatown,4.2 /5,156," 9667540036
 7042349751",Bar,Pubs and bars,7,2,American,
50610,Copper Chimney,Yes,Yes,Chinatown,4.1 /5,0," 8067266455
 8657410221",Casual Dining,Delivery,6,2,American,
35245,Pappu Chaiwalla,Yes,No,Lower Manhattan,3.1 /5,90,080 49721444,Quick Bites,Delivery,7,4,American,
28001,Lets cafe,No,No,Tribeca,3.5/5,6,9573819444,Quick Bites,Delivery,1,2,Chinese,
31953,HOTEL VKM,Yes,No,Lower Manhattan,,0," 9880622209,  7411290003",Quick Bites,Dine-out,1,1,Mexican,
45299,The Teal Door Cafe,Yes,No,Greenwich,4.2 /5,1920,080 49653146,Cafe,Delivery,7,2,Snacks,
41638,Flavors of America,Yes,No,Staten and Ellis Islands,3.6 /5,34,9513397311,Casual Dining,Dine-out,1,3,American,
37595,Invitation Bar & Restaurant,No,No,Lower Manhattan,3.0 /5,16,9886055270,Bar,Drinks & nightlife,,1,American,
34449,Royal Paris,Yes,No,Lower Manhattan,3.8 /5,72,"080 26845444
080 26846444",Casual Dining,Dine-out,2,3,American,
10214,Hang10 Resto N Cafe,Yes,No,Lower Manhattan,3.8 /5,102," 7353222277
 7353444477",Casual Dining,Desserts,5,3,American,
37128,Grillopia,Yes,No,Lower Manhattan,3.9 /5,99," 7042445999
 7042067999",Quick Bites,Dine-out,3,6,Italian,
23199,Starbucks,No,No,Midtown,4.2/5,386," 9663994264,  8884678564",Cafe,Dine-out,7,2,Snacks,
42156,The Mint Resto Bar,No,Yes,Staten and Ellis Islands,2.6 /5,62,7259688882,Casual Dining,Drinks & nightlife,1,3,American,
28926,Here & Now,No,No,East Village,4.6 /5,1590,9108790611,Cafe,Dine-out,7,4,Snacks,
2243,Sattvam,No,No,Midtown,4.3/5,353,"080 26595000,  9483275526",Casual Dining,Dine-out,7,2,American,
37220,Johnson Fast Food,Yes,No,Lower Manhattan,3.7 /5,67,080 26686112,Quick Bites,Dine-out,3,3,Mexican,
10678,Speedbreaker,Yes,No,Lower Manhattan,3.4/5,," 9980399477,  8660933013",Quick Bites,Dine-out,1,1,American,
2359,Nandi Bidadi Thatte Sushi,No,No,Midtown,2.9/5,33,8884867598,Quick Bites,Dine-out,1,1,,
32497,Chung Wah,Yes,No,Tribeca,4.0 /5,314,"080 41607888, 080 41607999",Casual Dining,Delivery,7,4,Chinese,
10430,Brother?s Bar & Kitchen,No,No,Lower Manhattan,3.4/5,5,9945793981,Casual Dining,Dine-out,1,2,Chinese,
20750,Suji's Kitchen,No,No,Midtown,,0,7899975264,Quick Bites,Delivery,1,2,Mexican,
32463,David's Kitchen,Yes,No,Lower Manhattan,3.6 /5,14," 9035721005,  8880550888",Quick Bites,Delivery,1,3,American,
19392,The Yellow Chilli,Yes,Yes,Chelsea,3.8/5,584,080 41712345,Casual Dining,Buffet,7,3,American,
3853,Sri Vishnu Veg,Yes,No,Staten and Ellis Islands,3.5/5,11," 8971112280,  9964394099",Quick Bites,Delivery,1,1,Mexican,
17540,Zaica Dine & Wine,Yes,Yes,Greenwich,4.0/5,1013," 9731333833, 080 41201745",Casual Dining,Buffet,7,1,American,
21132,The Grillo,Yes,Yes,Chelsea,,80,8043940555,Casual Dining,Dine-out,1,5,American,
36738,YORK St.,Yes,No,Tribeca,4.4 /5,951,7624945998,Cafe,Dine-out,7,3,Snacks,
17616,Planet Popcorn,No,No,Greenwich,,0," 8095977522,  9945157573",Cafe,Cafes,1,1,Snacks,
18486,Happy Eats,Yes,No,Greenwich,NEW,0,8049595676,Delivery,Delivery,1,2,American,
18529,Eddy's Cafe,Yes,No,Greenwich,4.1/5,137,6361292968,Cafe,Desserts,7,8,Snacks,
37432,Deepam Tiffins,No,No,Lower Manhattan,,0," 7003050054
 9748122867",Quick Bites,Dine-out,1,3,Mexican,
7645,Oregano Soul Food,Yes,No,Chinatown,4.1/5,142,8867266627,Cafe,Delivery,7,1,Snacks,
997,Paradise,Yes,No,Midtown,4.0/5,1974," 9513477574,  9901842605",Casual Dining,Delivery,7,3,Italian,
20417,Punjabi Raswada,Yes,Yes,Chelsea,3.5/5,432," 9740105551, 080 49784222",Casual Dining,Delivery,7,1,American,
30468,Akshaya Grand,Yes,No,Lower Manhattan,3.4 /5,29," 9844508520, 080 26682939",Casual Dining,Delivery,1,1,American,
31104,American Coffee House & Restaurant,No,No,Tribeca,4.2 /5,676,8025522339,Casual Dining,Dine-out,7,3,Mexican,
32922,Ammus Hot N Cool,Yes,No,Lower Manhattan,3.4 /5,84,7829389148,Quick Bites,Delivery,1,5,American,
41213,Ganga Foods,Yes,No,Staten and Ellis Islands,3.5 /5,18,9513219630,Quick Bites,Delivery,1,2,Mexican,
15023,Chetty's Coffee,Yes,No,Greenwich,3.9/5,43,7022324118,Quick Bites,Delivery,3,1,Mexican,
6984,Biggies Burger 'n' More,Yes,No,Staten and Ellis Islands,3.8/5,63," 7899673165,  9164017799",Cafe,Delivery,6,3,Snacks,
27962,Ambur Hot Dum Burger,No,No,Lower Manhattan,3.5/5,21,9739695758,Quick Bites,Delivery,1,1,Italian,
27370,New Friends,Yes,No,Lower Manhattan,3.8/5,273,"080 26784129, 080 26912010",Casual Dining,Delivery,7,4,,
45865,Waffle Magic,No,No,Greenwich,4.2 /5,592,080 45128813,Cafe,Dine-out,7,2,Snacks,
21569,Multi Kitchen,No,No,Lower Manhattan,,0,9741525305,Quick Bites,Dine-out,1,2,American,
32168,Nuts Over Salads Cafe,Yes,Yes,Tribeca,4.4 /5,208,"080 25533344,  7019629831",Cafe,Cafes,7,2,Snacks,
51435,Best In Klass,Yes,No,Chinatown,3.2 /5,47," 6360827238
 8029710597",Quick Bites,Dine-out,1,1,Mexican,
32763,High n Hungry,Yes,No,Lower Manhattan,2.9 /5,95,"040 42150606,  9886941212",Delivery,Delivery,2,4,American,
33275,Al Habibi Restaurant,Yes,No,Lower Manhattan,3.5 /5,17,9611118091,Quick Bites,Delivery,1,2,American,
41546,Output Bengaluru,No,Yes,Staten and Ellis Islands,4.5 /5,900,080 49653064,Pub,Dine-out,7,2,American,
9699,Chef All Nite,Yes,No,Lower Manhattan,3.9/5,464," 9535793969,  8147283784",,Delivery,6,2,Chinese,
3029,1947,No,Yes,Chelsea,4.1/5,2303,"080 41261947,  9739989453",Casual Dining,Delivery,7,2,American,
4522,Light House Cafe,Yes,No,Staten and Ellis Islands,3.7/5,94," 9741033890,  9743686830",Cafe,Desserts,1,5,Snacks,
26685,Pizza Central,Yes,No,Lower Manhattan,4.1/5,200,080 71967538,Quick Bites,Delivery,,1,American,
6768,Flavors of America,Yes,No,Staten and Ellis Islands,3.6/5,34,9513397311,Casual Dining,Buffet,1,3,American,
18936,Dine @ 9 Paratha Corner,Yes,No,Greenwich,3.6/5,33," 9380868077,  8192838087",Quick Bites,Dine-out,1,2,American,
28566,Cafemoto,Yes,No,Tribeca,4.0 /5,201," 6360827051,  8129229603",Cafe,Dine-out,7,4,Snacks,
7183,Kitchen Online,No,No,Chinatown,3.3/5,6,9900380764,,Delivery,1,1,American,
31124,Drunkling - Sizzlers and Pub,Yes,Yes,Tribeca,4.4 /5,347," 8660457440,  8025505542",Casual Dining,Dine-out,7,6,Chinese,
27638,Tiffin Box,Yes,No,Lower Manhattan,NEW,0,8748866888,Takeaway,Delivery,,,American,
34493,The Biriyani Pedia,Yes,No,Lower Manhattan,4.0 /5,59,9809202588,Quick Bites,Dine-out,4,2,Italian,
29756,Darshan Paradise Restaurant,Yes,No,Lower Manhattan,3.6 /5,15," 9880414009,  8095414009",Quick Bites,Delivery,1,2,American,
35292,Omleterian,Yes,No,Lower Manhattan,,0,,Quick Bites,Delivery,1,2,American,
7597,Maashpacheez,Yes,No,Staten and Ellis Islands,3.6/5,17,7624836700,Quick Bites,Delivery,1,3,American,
21164,Maiyas,Yes,No,Chelsea,4.0 /5,1784,9632411352,Quick Bites,Dine-out,7,4,American,
9843,Food And You,No,No,Tribeca,3.8/5,89," 9886360205,  7204347392",Quick Bites,Delivery,,2,American,
21079,LIT Gastro Pub,Yes,Yes,Chelsea,3.4 /5,215,9739380630,Pub,Dine-out,7,4,Chinese,
9344,Grills And Tandoor,Yes,Yes,Tribeca,3.6/5,107," 8910378576, 080 43761888",Casual Dining,Delivery,7,2,American,
21047,Toscano,Yes,Yes,Chelsea,,1137,"080 41558423,  7619320074",Casual Dining,Dine-out,7,2,Italian,
10789,Sri Sharana Basaveshwara Khanavali,No,No,Lower Manhattan,,0,9743806316,Quick Bites,Dine-out,1,1,Mexican,
32738,Fresh Pressery Cafe,Yes,No,Tribeca,4.1 /5,141,080 41724989,Cafe,Delivery,,5,Snacks,
10697,Sri Sankara Cafe,Yes,No,Lower Manhattan,3.6/5,26,9986266688,Quick Bites,Dine-out,1,1,Mexican,
22345,Mr. Parathewala,Yes,No,Chelsea,,0,8884135349,Takeaway,Delivery,,1,American,
8989,Asha Tiffins,Yes,No,East Village,4.3/5,278,7619682498,Quick Bites,Delivery,6,1,Mexican,
45303,Homemade Food,Yes,No,Greenwich,3.8 /5,24,9566785454,Takeaway,Delivery,1,1,Mexican,
51053,Punjabi by Nature 2.0,Yes,No,Chinatown,4.2 /5,489,"080 61224788
 7022638801",Casual Dining,Dine-out,7,1,American,
6800,Spice Boulevard,No,No,Chinatown,3.9/5,90," 7619180369,  7349298056",Cafe,Cafes,7,3,Snacks,
7287,Sultan's Burger,No,No,Staten and Ellis Islands,3.0/5,10,9513777153,Delivery,Delivery,1,2,Italian,
37328,American Paratha Factory,Yes,No,Lower Manhattan,2.9 /5,24,9108091606,Quick Bites,Dine-out,1,1,American,
20588,Melt - Eden Park,Yes,Yes,Midtown,4.0/5,347,9606487102,Casual Dining,Delivery,7,5,American,
22411,The Grillo,Yes,Yes,Chelsea,2.8/5,80,8043940555,Casual Dining,Delivery,1,5,American,
51209,Chefactory Gold by Flechazo,Yes,No,Chinatown,3.7 /5,355,9513758714,Casual Dining,Dine-out,7,2,American,
8049,Wok With Chung,No,No,Staten and Ellis Islands,3.8/5,688,"080 28540039, 080 28540041",Casual Dining,Dine-out,7,2,Chinese,
41186,Light House Cafe,No,No,Staten and Ellis Islands,3.6 /5,94," 9741033890
 9743686830",,Delivery,1,5,Snacks,
21981,Yum In My Tum,Yes,No,Lower Manhattan,4.2/5,102,9108084789,Quick Bites,Delivery,7,4,Chinese,
45144,Popat,Yes,No,Greenwich,3.2 /5,43,7676242139,Quick Bites,Delivery,1,1,American,
31785,Invitation Bar & Restaurant,No,No,Lower Manhattan,3.0 /5,15,9886055270,Bar,Dine-out,1,1,American,
2771,Hatti Kaapi,Yes,No,Chelsea,4.0/5,89,080 40942666,Quick Bites,Delivery,4,2,Mexican,
18261,SSD Kitchen,No,No,Greenwich,,0,7022208878,Quick Bites,Delivery,1,1,Italian,
16402,Moti Mahal Delux,Yes,Yes,East Village,4.0/5,558," 9844553321,  9742455177",Casual Dining,Delivery,7,2,American,
19983,Fillers,Yes,No,Lower Manhattan,3.9/5,138,9663577118,Quick Bites,Delivery,6,2,American,
16153,Chattar Mattar,No,No,East Village,3.5/5,11,7829611611,Quick Bites,Delivery,1,2,American,
8237,Dil Punjabi,Yes,No,Staten and Ellis Islands,2.6/5,158,9886001722,Quick Bites,Dine-out,1,1,American,
34016,Hyderabad Biryaani House,Yes,No,Tribeca,4.1 /5,1118,"080 65754353
 7204344343",Casual Dining,Dine-out,7,4,Italian,
33365,Shree Thali,No,No,Tribeca,4.1 /5,183,9036220937,Mess,Delivery,7,1,American,
19817,AM's Cafe Recreate,Yes,No,Lower Manhattan,3.3/5,8,8151994019,Takeaway,Delivery,1,2,Chinese,
40549,UBCR,No,No,Staten and Ellis Islands,3.5 /5,,9986654478,Cafe,Cafes,1,6,Italian,
36810,Popsies,Yes,No,Tribeca,3.9 /5,823,"080 65463880
080 65659336",Casual Dining,Dine-out,7,2,,
7635,Auntie Fung's,Yes,No,Chinatown,NEW,0," 9945751754,  9972987510",Food Court,Delivery,1,3,Chinese,
41711,Haveli,Yes,No,Staten and Ellis Islands,3.7 /5,61,8494900042,Casual Dining,Dine-out,1,3,Italian,
17182,Donne Biriyani House,Yes,No,East Village,3.8/5,278,"080 68888355,  9620992555",Quick Bites,Dine-out,7,1,Italian,
1517,Brewz Coffee,Yes,No,Lower Manhattan,3.0/5,61,080 41200232,Cafe,Delivery,3,1,Snacks,
36353,Pakiza Dilli Darbar Restaurant,Yes,No,Lower Manhattan,3.2 /5,13,9391668083,Quick Bites,Delivery,1,1,Italian,
10549,Awesome Foods,Yes,No,Lower Manhattan,3.7/5,23,8123305294,Quick Bites,Dine-out,1,2,Chinese,
41543,Barbeque Nation,No,Yes,Staten and Ellis Islands,4.3 /5,1074," 8064806060
18001086060",Casual Dining,Dine-out,7,5,American,
18925,Om Sai Skanda Nachos Camp,No,No,Greenwich,3.9/5,29,9845578328,Quick Bites,Dine-out,1,1,Mexican,
41536,Melange - Radisson Blu,No,Yes,Staten and Ellis Islands,4.5 /5,785,080 49652492,Fine Dining,Dine-out,7,4,American,
7267,Chirayu Burger House,No,No,Chinatown,,0,9886903811,Delivery,Delivery,1,1,Italian,
28410,Om Made Cafe,No,No,Tribeca,4.1 /5,2732,"080 43024010, 080 25533369",Cafe,Dine-out,7,4,Snacks,
32304,Nandhanam Restaurant,Yes,No,East Village,3.8 /5,8,8310884153,Quick Bites,Delivery,1,2,Mexican,
51431,Green Chillies,No,No,Chinatown,,0,9686555599,Quick Bites,Dine-out,1,3,American,
278,Gufha - The President Hotel,Yes,Yes,Chelsea,4.1/5,1875,"080 41808777,  9900265022",Casual Dining,Delivery,7,3,American,
34814,Smally's Resto Cafe,Yes,Yes,Tribeca,4.2 /5,1706," 7406772442
 7406772332",Cafe,Cafes,7,5,Snacks,
14965,Ideal Kitchen,Yes,No,Greenwich,3.5/5,26," 9164863549,  8073560905",Quick Bites,Delivery,1,4,American,
29442,Bathinda Tandoor,Yes,No,Lower Manhattan,3.8 /5,60," 7899987436,  7708528198",Quick Bites,Delivery,1,1,American,
44752,Ciclo Cafe,Yes,No,Greenwich,4.3 /5,1331,"080 48664512
 8667642029",Cafe,Cafes,7,3,Snacks,
7926,Nizam's Burger House,Yes,No,Staten and Ellis Islands,3.9/5,756," 8123403000,  9036008357",,Dine-out,5,2,American,
2460,Sri Lakshmi Perk,Yes,No,Lower Manhattan,2.9/5,255," 8970548240,  9739369901",Quick Bites,Dine-out,2,1,,
3452,Toscano,Yes,Yes,Chelsea,4.3 /5,1161,"080 41558423
 7619320074",Casual Dining,Dine-out,7,2,Italian,
21689,Udupi Cafe,No,No,Midtown,,0,"080 49557302,  9035853303",Quick Bites,Dine-out,1,3,Mexican,
30745,Rayalaseema Abhiruchulu,No,No,Lower Manhattan,NEW,0,9742044034,,Delivery,1,3,American,
23667,Namaste,No,No,Lower Manhattan,NEW,0,7795680954,Quick Bites,Dine-out,1,1,Mexican,
8616,The Mylapore Cafe,Yes,No,East Village,4.1/5,119,080 41472414,Quick Bites,Delivery,5,2,Mexican,
11027,Willys Top Cafe,Yes,No,Chelsea,4.0/5,310," 7795808555, 00 09176703991",Cafe,Dine-out,,3,,
35466,Hatti Kaapi,Yes,No,Tribeca,3.9 /5,237," 8884247518
080 26622374",Quick Bites,Delivery,7,2,Mexican,
50112,Blue Tokai Coffee Roasters,Yes,No,Chinatown,4.0 /5,29,7703938506,Cafe,Cafes,1,1,Snacks,
18949,Manju's Kitchen,Yes,No,Greenwich,3.3/5,13," 6362835588,  6362937794",Quick Bites,Dine-out,1,1,Italian,
17115,Le Rosa Restaurant,No,No,East Village,3.2/5,4," 9206082090,  9961659609",Casual Dining,Dine-out,1,3,American,
36123,Priya Restaurant,No,No,Chelsea,,0," 8970413456
 9036000184",Quick Bites,Delivery,1,2,Mexican,
22690,Sambram,No,No,Midtown,,0,"080 26588510,  9741868677",Casual Dining,Delivery,1,2,Italian,
3020,Vindu Andhra Ruchulu,Yes,No,Chelsea,3.8/5,280,"080 22442527,  9900007666",Casual Dining,Delivery,7,3,Italian,
23152,Hunger Camp,No,Yes,Midtown,4.6/5,,080 49652706,Casual Dining,Dine-out,7,4,American,
26846,Nachos Plaza,Yes,No,Tribeca,3.8/5,140,080 49652583,Quick Bites,Delivery,1,4,Mexican,
18212,New Leaf Restaurant,Yes,Yes,Greenwich,3.7/5,58," 7975837883,  8095555686",Casual Dining,Delivery,1,1,Chinese,
10977,Fresh Pressery Cafe,Yes,No,Tribeca,4.1/5,137,080 41724989,Cafe,Dine-out,7,5,Snacks,
18810,Blistering Barnacles,No,Yes,Greenwich,3.9/5,1214,080 41263332,Pub,,7,4,Chinese,
16731,Hello Brother Hotel,No,No,East Village,3.4/5,6," 8747876806,  8747876056",Quick Bites,Delivery,1,2,American,
29709,Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,East Village,4.3 /5,1105,8041697171,Cafe,Delivery,7,4,Snacks,
32538,The Mylapore Cafe,Yes,No,East Village,4.1 /5,121,080 41472414,Quick Bites,Delivery,5,2,Mexican,
9168,Khaja Point,No,No,Lower Manhattan,NEW,0,9886804017,Quick Bites,Delivery,1,3,American,
20078,Chung Wah Opus,Yes,No,Midtown,3.0/5,57,"080 65788688, 080 65788588",Casual Dining,Delivery,3,2,Chinese,
9690,NY8LIFE,No,No,Lower Manhattan,3.2/5,4," 9036060002,  9036060004",Delivery,Delivery,1,3,American,
22782,Melt - Eden Park,Yes,Yes,Midtown,4.0/5,347,9606487102,Casual Dining,Delivery,7,5,American,
10547,Bathinda Tandoor,Yes,No,Lower Manhattan,NEW,0," 7899987436,  7708528198",Quick Bites,Dine-out,1,1,American,
31026,Hang10 Resto N Cafe,Yes,No,Lower Manhattan,3.7 /5,101," 7353222277,  7353444477",Cafe,Desserts,5,3,Snacks,
17934,Suvaai Restaurant,Yes,No,Greenwich,3.3/5,11,"080 25200060,  9448558083",Quick Bites,Delivery,1,1,Mexican,
17508,Napoli Italian Bistro,Yes,Yes,East Village,4.1/5,,"080 22580999,  9343011648",Casual Dining,Pubs and bars,,4,Italian,
21742,Bottle Breacher,No,Yes,Midtown,4.2/5,1197,9482512009,Casual Dining,Drinks & nightlife,7,2,Italian,
16069,Brajwasi Catering Service,No,No,East Village,,0," 9343707430,  9945087734",Delivery,Delivery,1,2,American,
17534,Empire Restaurant,Yes,No,Greenwich,4.2/5,8176,080 45128757,Casual Dining,Buffet,7,4,American,
32977,Kopper Kadai,Yes,Yes,Tribeca,4.1 /5,1697," 8147957515,  8951958515",Casual Dining,Delivery,7,2,American,
27542,Tim Tai,Yes,Yes,Tribeca,4.4/5,3673," 7204198888,  9110635136",Casual Dining,Delivery,7,7,Chinese,
33961,Big Wong XL,No,Yes,Tribeca,4.5 /5,688,9902667866,Casual Dining,Dine-out,7,4,Chinese,
30174,Shree Thali,No,No,Tribeca,4.1 /5,183,9036220937,,Delivery,7,1,American,
42155,Pelican,No,No,Staten and Ellis Islands,3.4 /5,20,"065535 43666
065535 43666",Pub,,1,2,American,
27676,Midnight Express,No,No,Tribeca,2.8/5,26," 9538100092,  9538100094",Takeaway,Delivery,1,3,American,
19520,Kullad Cafe,Yes,No,Lower Manhattan,3.9/5,331," 8861570148,  9972089231",Cafe,Delivery,7,4,American,
18886,The Chennai Express,No,No,Greenwich,3.8/5,166,080 68888856,Quick Bites,Dine-out,5,2,Mexican,
8889,Rajdhani Thali Restaurant,Yes,Yes,Midtown,3.9/5,885," 9886022552, 080 41126111",Casual Dining,Delivery,7,1,American,
3999,Napoli Italian Bistro,Yes,Yes,East Village,4.1/5,1056,"080 22580999,  9343011648",Casual Dining,Delivery,7,4,Italian,
51443,Star Restaurant,No,No,Chinatown,,0,9845098066,Quick Bites,Dine-out,1,3,Mexican,
8042,Nellore Mess & Tiffens,No,No,Chinatown,3.5/5,16,9739928360,Mess,Dine-out,1,2,Mexican,
17686,Dindigul Thalappakatti,Yes,No,Greenwich,4.3/5,289," 8042297250,  8042297350",Casual Dining,Delivery,6,4,Italian,
10167,Samosa Singh,Yes,No,East Village,,0,080 43334333,Quick Bites,Delivery,1,2,American,
32119,Empire Restaurant,Yes,No,Tribeca,4.1 /5,6948,080 45128675,Casual Dining,Buffet,7,4,American,
32735,Paratha Plaza,Yes,No,Tribeca,3.9 /5,41,080 40978174,Quick Bites,Delivery,1,1,American,
17040,Cafe Mondo,Yes,No,East Village,3.6/5,484,080 49534335,Cafe,Dine-out,7,4,Snacks,
22768,The Little Kitchen,No,No,Chelsea,3.8/5,27,7026222245,Quick Bites,Delivery,1,2,Chinese,
8660,Naati Manae,Yes,Yes,Tribeca,3.9/5,484,"080 41116661, 080 41136661",Casual Dining,Delivery,7,4,American,
20658,Eat Sleep Eat Repeat,Yes,No,Tribeca,3.5/5,16,7022358500,Quick Bites,Delivery,1,3,Chinese,
19878,Kaapi Kendra,Yes,No,Chelsea,3.7/5,16,8277264556,Quick Bites,Delivery,1,1,Mexican,
21161,Chung Wah,Yes,No,Chelsea,3.7 /5,330," 9108945477,  9108945277",Casual Dining,Dine-out,7,3,Chinese,
18767,Zaica Dine & Wine,Yes,Yes,Greenwich,4.0/5,1013," 9731333833, 080 41201745",Casual Dining,Dine-out,,1,American,
18954,Sri Lakshmi Darshini Canteen,No,No,Greenwich,,0,9742837448,Quick Bites,Dine-out,1,1,Mexican,
16487,American Paratha Factory,Yes,No,East Village,2.7/5,140," 9108529166,  7338491606",Quick Bites,Delivery,7,1,American,
21753,Barbeque Nation,No,Yes,Midtown,4.7/5,3855,8064806060,Casual Dining,Buffet,7,5,American,
44760,Waffle Magic,No,No,Greenwich,4.2 /5,592,080 45128813,Cafe,Cafes,7,2,Snacks,
23216,Nouvelle Garden,No,No,Midtown,3.7/5,203," 9900022134,  9900022136",Casual Dining,Dine-out,7,3,American,
30776,Sree Food Paradise,No,No,Lower Manhattan,,0,8951458076,Quick Bites,Delivery,1,2,American,
10650,Ambur Dum Burger,No,No,Lower Manhattan,,0," 8970895965,  8553422626",Quick Bites,Dine-out,1,,Italian,
37470,Hello Dish Biriyani,No,No,Lower Manhattan,,0," 9986491549
 8111924516",Quick Bites,,1,1,Italian,
18207,Sunny Side Bistro,No,No,Greenwich,3.7/5,69,9916842131,Cafe,Delivery,1,2,Snacks,
9891,Pakiza Dilli Darbar Restaurant,Yes,No,Lower Manhattan,3.2/5,13,9391668083,Quick Bites,Delivery,1,1,Italian,
